,Statement Description
3061, Customer Needs Assessment
3062,Security Information Management
3063, cybersecurity
3064, network monitoring
3065, security threats
3066,IPsec protocols
3067, Key management standards
3068, Security Association (SA)
3069, Authentication methods
3070,SHA 3 algorithm
3071, Rho step function
3072, cryptography
3073,UNIX file system knowledge
3074, Understanding of UNIX accounting files
3075,knowledge of file and directory integrity
3076, understanding of security practices
3077, familiarity with cryptographic hash functions
3078, awareness of system log analysis
3079, knowledge of antivirus software limitations
3080, understanding of authentication methods
3081,Password recovery techniques
3082, Enumeration phase in cybersecurity
3083, Attack methods used by malicious actors
3084,Business Continuity Planning
3085, Understanding of Business Impact Analysis
3086, Knowledge of Recovery Strategies
3087,Operating System Concepts
3088, Memory Management
3089, Process Isolation
3090,Network fundamentals
3091, IP addressing and subnetting
3092, Concepts of network security
3093,Understanding of consumer rights
3094, Knowledge of data privacy regulations
3095, Awareness of customer preferences
3096, Definition of privacy in digital contexts
3097,网络安全知识
3098, 防火墙概念
3099, 网络攻击类型
3100,knowledge of cybersecurity concepts
3101, understanding of data protection methods
3102, awareness of encryption functions
3103,knowledge of information security management systems
3104, understanding of audit frameworks and processes
3105, familiarity with ISO standards
3106, awareness of Common Criteria
3107, knowledge of COBIT framework
3108, understanding of BS 7799
3109,Greek mythology
3110, symbolism in literature
3111, mythological figure Sisyphus
3112,U.S. intelligence agencies
3113, NSA functions and responsibilities
3114, U.S. military and defense organizations
3115,Knowledge of public key cryptography concepts
3116, Understanding of encryption and decryption processes
3117, Awareness of private key confidentiality
3118,knowledge of legal standards for defending against torts
3119, understanding of encryption methods
3120, awareness of effective control measures
3121, familiarity with e discovery processes
3122, experience with operational investigation
3123,Database management systems
3124, ACID properties
3125,Understanding of continuity planning concepts
3126, Knowledge of recovery time objective (RTO)
3127, Awareness of data recovery in IT systems
3128,Network protocols
3129, ARP function
3130, TCP/IP model
3131,Intrusion detection systems
3132, False positive rates
3133, System performance
3134, Cost of implementation
3135,virus propagation techniques
3136, Good Times virus characteristics
3137,knowledge of data security methods
3138, understanding of data classification levels
3139,Computer security
3140, Security standards
3141,knowledge of role based access control
3142, understanding of organizational security needs
3143, familiarity with access control concepts
3144,Configuration Management principles
3145, Software engineering practices
3146, System lifecycle management
3147,knowledge of internet protocol management
3148, understanding of regional internet registries
3149, familiarity with IP address allocation processes
3150, awareness of ASN management
3151,knowledge of access control models
3152, understanding of Mandatory Access Control principles
3153, awareness of Attribute based Access Control features
3154, familiarity with Role based Access Control concepts
3155, knowledge of Discretionary Access Control
3156,knowledge of relational database management systems
3157, understanding of database terminology
3158,knowledge of web security
3159, understanding of SQL databases
3160, awareness of common web attack methods
3161,Web security concepts
3162, Cybersecurity terminology
3163,risk governance framework
3164, risk management phases
3165,knowledge of biometrics
3166, understanding of False Rejection Rate (FRR)
3167, understanding of False Acceptance Rate (FAR)
3168,IPv6 addressing
3169, IPv6 compression rules
3170,Firewall types
3171, Network security concepts
3172,knowledge of password security
3173, understanding of cryptographic hash functions
3174, familiarity with MD5 vulnerabilities
3175, awareness of SHA family strengths and weaknesses
3176, experience with bcrypt for password hashing
3177,IPSec components
3178, Security Association (SA)
3179, Security services and parameters
3180,Computer security
3181, Programming
3182, Cybersecurity terminology
3183,Bluetooth technology
3184, Common terms for Bluetooth related pranks
3185,Business Continuity Management concepts
3186, Disaster Recovery processes
3187, Incident Response procedures
3188,knowledge of cryptographic practices
3189, understanding of certificate authorities roles
3190,knowledge of cryptographic concepts
3191, understanding of asymmetric key pairs
3192, familiarity with security credentials management
3193, awareness of CRL (Certificate Revocation List)
3194, understanding of certificate authorities
3195,Understanding of cloud computing models
3196, Knowledge of SaaS
3197, PaaS
3198, IaaS definitions
3199,Common Criteria
3200, Trusted Computing Base
3201, Evaluation Assurance Levels
3202,software development processes
3203, engineering techniques and tools
3204, error detection
3205, quality assurance
3206,knowledge of web privacy standards
3207, understanding of P3P project
3208,Disaster recovery planning
3209, Physical security concepts
3210, Computer system security
3211,Time based one time password
3212, Authentication mechanisms
3213,Security concepts
3214, Access control principles
3215, Organizational identity management
3216,Knowledge of basic cybersecurity practices
3217, Understanding of password security principles
3218,Information security management
3219, Management commitment
3220, Security program maintenance
3221,patch management systems
3222, software patching processes
3223, system administration
3224,software development methodologies
3225, history of software engineering
3226, security and software assurance
3227,knowledge of web application security
3228, understanding of code injection attacks
3229, familiarity with input validation
3230,forensic tools
3231, file recovery techniques
3232,knowledge of network security
3233, understanding of authentication processes
3234, awareness of different types of cyber attacks
3235,TCP/IP protocols
3236, OSI model
3237, Session layer
3238,Statistical testing in cryptography
3239, Goodness of fit tests
3240, Poker test
3241, Monobit test
3242, Kolmogorov Smirnov test
3243, Runs test
3244,Understanding of communication channels
3245, Knowledge of security controls and their limitations
3246, Awareness of methods used to bypass security
3247,knowledge of cryptographic algorithms
3248, understanding of AES standardization
3249,cybersecurity concepts
3250, malware types
3251, time based attacks
3252,cybersecurity concepts
3253, incident response
3254, network security
3255, compliance management
3256, encryption technologies
3257,Understanding of security principles
3258, Knowledge of fail modes in systems
3259, Experience with secure system design
3260,Cybersecurity principles
3261, Cross Site Scripting (XSS)
3262,knowledge of wireless network security
3263, understanding of shared key authentication
3264, awareness of different types of network attacks
3265, familiarity with encryption and authentication processes
3266,Embedded systems knowledge
3267, Physical world interaction understanding
3268, Security vulnerabilities in hardware
3269, Differences between embedded systems and PCs
3270,Risk Analysis process
3271, Risk management concepts
3272, Threat assessment
3273, Risk mitigation strategies
3274, Asset valuation techniques
3275, Quantitative risk analysis
3276, Qualitative risk analysis
3277,Knowledge of DLL injection techniques
3278, Understanding of process environment block
3279, Antivirus software detection mechanisms
3280,Data classification concepts
3281, Corporate data protection strategies
3282, Benefits of data classification programs
3283, Enterprise wide data management
3284,Cryptography basics
3285, Key concepts in cryptography
3286,Understanding of communication network types
3287, Knowledge of circuit switching concept
3288,company policies
3289, acceptable use policy
3290,Understanding of corporate information management
3291, Knowledge of business risk assessment
3292, Awareness of data classification principles
3293, Insight into decision making processes
3294,Understanding of SQL syntax
3295, Knowledge of web application security
3296, Awareness of common vulnerabilities
3297,Object oriented programming concepts
3298, Methods in OOP
3299,knowledge of computer security terms
3300,knowledge of Common Criteria
3301, understanding of Evaluation Assurance Levels (EALs)
3302, familiarity with security confidence rating scales
3303,File systems
3304, NTFS features
3305, FAT file system limitations
3306, ext4 features
3307, Access Control Lists (ACLs)
3308,knowledge of web server vulnerabilities
3309, understanding of HTTP protocol
3310,Knowledge of information security concepts
3311, Understanding of audit processes
3312, Familiarity with transaction tracking
3313,Virtualization concepts
3314, Cybersecurity fundamentals
3315, Sandboxing techniques
3316,Microsoft environments
3317, User and computer account management
3318, Set of rules for governance
3319, Security templates
3320, Group Policy Editor
3321,Web services
3322, XML
3323, HTTP
3324, UDDI
3325, SOAP
3326,fire suppression systems
3327, sprinkler system types
3328, combustible materials
3329, fire characteristics
3330, sprinkler activation mechanisms
3331,Computer security concepts
3332, Authentication processes
3333,federal laws related to software export
3334, categories of retail and mass market security software
3335, process of submitting products for review by the Commerce Department
3336, freely exporting security software
3337,knowledge of network security protocols
3338, understanding of encrypted communication
3339, familiarity with FTP
3340, Telnet
3341, and rlogin
3342,Knowledge of data security practices
3343, Understanding of encryption
3344, Awareness of data backup procedures
3345, Familiarity with strong authentication methods
3346,Network security concepts
3347, Application layer security protocols
3348,Network security concepts
3349, Intrusion detection systems
3350,Web security concepts
3351, Cross site scripting (XSS) attack mechanisms
3352, Common web application security practices
3353,knowledge of privacy policy creation methods
3354, familiarity with privacy management tools
3355, understanding of natural language processing in legal contexts
3356, awareness of visual representation techniques in privacy settings
3357,knowledge of organizational security concepts
3358, understanding of security policy documents
3359,PCI DSS compliance knowledge
3360, Segmentation concepts
3361, Security operations understanding
3362,Integrity Verification Procedure
3363, Data validation
3364, Security procedures
3365,knowledge of communication security
3366, understanding of digital signatures
3367, packet integrity checks
3368, one time authentication methods
3369, session management
3370, physical security measures
3371, encryption techniques
3372, DNS security
3373, hyperlink validation
3374,knowledge of linear feedback shift registers
3375, understanding of primitive polynomials
3376, properties of LFSR sequences
3377, periodicity and distinctness of LFSR outputs
3378,TCP protocol
3379, Sequence numbering in TCP
3380, Acknowledgment mechanism in TCP
3381, Window size in TCP
3382,Understanding of network services
3383, Knowledge of WAN technologies
3384, Familiarity with connection mechanisms for remote LANs
3385,knowledge of centralized vs decentralized security infrastructures
3386, understanding of organizational scale and user base requirements
3387, familiarity with security needs for web solutions
3388,knowledge of home network security
3389, understanding of firewalls
3390, awareness of pervasive computing
3391, knowledge of device communication protocols
3392,cryptographic principles
3393, key management
3394, security standards
3395,Group theory knowledge
3396, Axioms of group theory
3397,wildfire behavior
3398, fire modeling techniques
3399, geospatial analysis
3400,Knowledge of disaster recovery planning
3401, Understanding of business continuity concepts
3402,network security
3403, cloud computing
3404, cybersecurity threats
3405,network adapters
3406, network modes (full duplex
3407, half duplex
3408, promiscuous)
3409, network intrusion detection systems
3410,computer security
3411, malware
3412, logic bombs
3413, salami attacks
3414, viruses
3415, Trojan Horse
3416,Knowledge of information security practices
3417, Understanding of organizational policies and procedures
3418, Familiarity with compliance processes
3419,Understanding of cloud computing models
3420, Knowledge of SaaS
3421, PaaS
3422, IaaS
3423, and community cloud concepts
3424,knowledge of computer security
3425, understanding of operating systems
3426, vulnerability exploitation techniques
3427, social engineering tactics
3428,knowledge of software development
3429, understanding of source code
3430, awareness of software protection techniques
3431,knowledge of computer viruses and worms
3432, understanding of how viruses and worms spread
3433, awareness of the differences between viruses and worms
3434,knowledge of cryptographic concepts
3435, understanding of cipher types
3436,Knowledge of cryptographic concepts
3437, Understanding of symmetric vs asymmetric encryption
3438, Familiarity with different types of encryption techniques
3439,knowledge of international human rights law
3440, understanding of business and human rights framework
3441,knowledge of computer memory management
3442, understanding of pointers in programming
3443, awareness of null pointer exceptions
3444,Virtual Private Network (VPN) fundamentals
3445, Internet networking concepts
3446, Data security and privacy
3447,network security concepts
3448, firewall functions
3449,Steganography concepts
3450, Covert communication techniques
3451,Privacy concepts
3452, Information security fundamentals
3453,software security
3454, vulnerability management
3455, patch management
3456,Understanding of UDP protocol characteristics
3457, Knowledge of TCP vs UDP differences
3458,Cybersecurity fundamentals
3459, Incident response processes
3460, Legal and compliance requirements
3461,knowledge of security services
3462, understanding of legal aspects of security
3463, awareness of data protection techniques
3464, comprehension of security compliance requirements
3465,networking fundamentals
3466, packet analysis
3467, computer networks
3468,block cipher structure
3469, linear cryptanalysis
3470, differential cryptanalysis
3471, cryptographic rounds
3472,knowledge of SQL injection attacks
3473, understanding of web application security measures
3474,Managed switch features
3475, CAM table function
3476, MAC address management
3477,Familiarity with security protocols and standards
3478, Knowledge of web services security
3479, Understanding of identity and access management
3480, Awareness of standards for secure communication
3481,Telecommunications fraud
3482, Enterprise network management
3483, Billing systems
3484, Calling patterns analysis
3485,Knowledge of data security
3486, Understanding of information lifecycle management
3487, Awareness of regulatory compliance requirements
3488,knowledge of computer malware types
3489,knowledge of the 2007 Saffron Revolution in Burma
3490, understanding of political impacts of protests
3491, awareness of internet censorship practices
3492, familiarity with the ruling junta in Burma at the time
3493,Computer network security
3494, Remote code execution concepts
3495,network protocols
3496, file transfer security
3497, port numbers
3498,knowledge of HRMS
3499, understanding of row level security
3500, familiarity with organizational hierarchy
3501, awareness of department security concepts
3502, insight into user roles in HRMS
3503, data sensitivity levels in HRMS
3504,knowledge of cryptographic attacks
3505, understanding of time memory trade offs
3506,Knowledge of SSO (Single Sign On) products
3507, Understanding of encryption standards
3508, Familiarity with DES (Data Encryption Standard)
3509,Understanding of data confidentiality concepts
3510, Knowledge of encryption techniques
3511, Awareness of cybersecurity principles
3512,game theory
3513, prisoners\ dilemma
3514, classic games
3515,Business Continuity Management
3516, Disaster Recovery
3517, Operational Resilience
3518,Understanding of security principles
3519, Knowledge of access control
3520, Familiarity with cybersecurity terminology
3521,Personal injury law
3522, Damages in tort law
3523,Understanding of connection oriented protocols
3524, Knowledge of data transmission reliability
3525, Awareness of packet delivery guarantees
3526,network security concepts
3527, cybersecurity attack types
3528,Understanding of DoS (Denial of Service) attacks
3529, Understanding of DDoS (Distributed Denial of Service) attacks
3530, Knowledge of attack objectives
3531,knowledge of cybersecurity concepts
3532, understanding of digital signatures
3533, familiarity with data integrity
3534, awareness of authentication processes
3535,Understanding of Kerberos protocol
3536, Knowledge of authentication concepts
3537, Awareness of network domains
3538,firewall types
3539, stateful inspection
3540, packet filtering
3541, application level firewall
3542, circuit level firewall
3543,network security
3544, cybersecurity threats
3545, common attack methods
3546,knowledge of data hiding techniques
3547, understanding of cybersecurity concepts
3548, familiarity with encryption methods
3549,Risk management
3550, Fire safety
3551, Threat vulnerability impact assessment
3552,MIME (Multipurpose Internet Mail Extensions) standards
3553, Content types in MIME
3554, Message headers in email
3555,Access control matrices
3556, Basic understanding of access control concepts
3557,malicious software
3558, memory based computing
3559, file system
3560, software types
3561,virus types
3562, computer boot process
3563, hard drive sectors
3564, memory loading
3565,access control policies
3566, RBAC
3567, DAC
3568, MAC
3569,knowledge of security awareness programs
3570, understanding of audience segmentation
3571, compliance requirements in security
3572, employee roles and responsibilities
3573,knowledge of cybersecurity attack lifecycle models
3574, familiarity with the Cyber Kill Chain
3575, understanding of the MITRE ATT&CK framework
3576,Knowledge of Kerberos authentication process
3577, Understanding of session keys
3578, Familiarity with TGT (Ticket Granting Ticket)
3579, Understanding of encryption and decryption in network security
3580,compliance assurance
3581, remediation processes
3582, security controls
3583,security architecture models
3584, Bell LaPadula model
3585, Biba model
3586, Clark Wilson model
3587, granularity in security models
3588, Harrison Ruzzo Ullman model
3589,Understanding of computer networks
3590, Knowledge of cybersecurity principles
3591, Ability to identify and exploit vulnerabilities
3592, Ethical considerations in hacking
3593,knowledge of security technologies
3594, understanding of USB mass storage devices
3595, familiarity with DLP concepts
3596,Security policy
3597, Employee compliance
3598, Management responsibilities
3599, Organizational security
3600,vulnerability assessment
3601, cybersecurity tools
3602, network security
3603,knowledge of computer network security
3604, understanding of different types of cyber attacks
3605,Principle of Economy of Mechanism
3606,Cryptography
3607,malware types
3608, social engineering tactics
3609,knowledge of cybersecurity
3610, understanding of software updates
3611, awareness of system vulnerabilities
3612,knowledge of computer networking
3613, understanding of file systems and directory structures
3614,Understanding of data security
3615, Knowledge of cybersecurity threats
3616, Awareness of data protection methods
3617,Understanding of compliance requirements
3618, Knowledge of automation tools and processes
3619, Awareness of potential penalties for noncompliance
3620, Experience in staff management
3621,Risk assessment processes
3622, Safeguard selection
3623, Vulnerability identification
3624, Threat evaluation
3625,knowledge of cryptographic functions
3626, understanding of security concepts
3627, familiarity with data protection methods
3628,Risk management process
3629, Concern assessment
3630, Statistical evidence
3631, Personal perceptions
3632, Accurate risk assessment
3633, Preventive measures
3634, Minimize potential threats
3635, Impact of adverse events
3636, Individual intuition
3637, Fear
3638, Stakeholder perceptions
3639, Reduction of ambiguity
3640,knowledge of historical computer and telecommunications hacking
3641, understanding of the counterculture movement
3642, awareness of early telephone systems and phreaking techniques
3643, insight into hacker motivations
3644,knowledge of security protocols
3645, understanding of digital communication
3646,Understanding of session hijacking
3647, Knowledge of network protocols and packet sequencing
3648, Familiarity with session identification mechanisms
3649,Principle of least privilege
3650,Business Continuity Planning
3651, Organizational Structure
3652, Operational Risks
3653, BCP Team Composition
3654,network scanning
3655, IoT device discovery
3656, command line tools
3657,Knowledge of Intrusion Detection Systems (IDS)
3658, Understanding of behavior based IDS
3659, Awareness of common drawbacks of IDS
3660,VoIP and teleconferencing security
3661, Conference bridge security measures
3662,understanding of cybersecurity threats
3663, knowledge of systems and their missions
3664,Common Criteria methodology
3665, Protection Profile (PP)
3666, Security Target (ST)
3667, Technical Implementation Entity (TOE)
3668,Risk assessment methods
3669, Types of risk analysis
3670,Understanding of common attack vectors
3671, Knowledge of how to cover tracks post exploitation
3672, Awareness of different types of cyber attackers
3673,knowledge of cybersecurity terms
3674, understanding of acronyms in cybersecurity
3675,Security principles
3676, Layered defense strategy
3677, Information asset protection
3678, Organizational system security
3679,knowledge of trade secret protection
3680, understanding of legal measures for protecting intellectual property
3681, awareness of contractual agreements
3682, familiarity with system auditing
3683, knowledge of termination procedures
3684,knowledge of cryptographic attacks
3685, understanding of hash functions
3686, awareness of message digest properties
3687,Defense in Depth strategy
3688, security layers
3689, access control
3690,AES 192 algorithm knowledge
3691, CTR mode of operation knowledge
3692,knowledge of SSL/TLS encryption
3693, asymmetric encryption
3694, symmetric encryption
3695, session key exchange
3696, bulk data encryption
3697,knowledge of Federal Sentencing Guidelines
3698, understanding of legal doctrines related to search and seizure
3699,Knowledge of network protocols
3700, Understanding of TCP flags
3701, Familiarity with network scanning techniques
3702,SANS Institute
3703, Information security education and training
3704,network security
3705, twisted pair cable characteristics
3706, security risks in networking
3707,Windows security privileges
3708, Windows token structure
3709,knowledge of secure password practices
3710, understanding of common password cracking methods
3711,knowledge of firewall types
3712, understanding of stateful inspection firewalls
3713, OSI model layers
3714, comparison of firewall speeds
3715, custom application support in firewalls
3716, network address translation in firewalls
3717,Encryption modes
3718, Cryptography
3719,SNMP versions
3720, Security features of SNMP
3721,Understanding of access control types
3722, Knowledge of non discretionary access control principles
3723, Awareness of mandatory access control mechanisms
3724, Familiarity with discretionary access control systems
3725, Insight into lattice based access control
3726,knowledge of cybersecurity
3727, understanding of ethical hacking principles
3728, awareness of legal and ethical boundaries in hacking
3729,Authentication methods
3730, Cryptography basics
3731, Network security concepts
3732,security life cycle model
3733, security measures
3734, security assessment
3735, safeguard design
3736, security strategy
3737,knowledge of social engineering techniques
3738, understanding of identity deception methods
3739,Software development lifecycle
3740, Security integration
3741, Vulnerability management
3742, Post development security
3743,Biometrics
3744, Identity verification processes
3745,knowledge of data management
3746, understanding of security practices
3747, familiarity with organizational roles
3748,Risk management concepts
3749, Threat identification and mitigation
3750, Business continuity planning
3751,knowledge of how cookies work
3752, understanding of user identification on websites
3753, familiarity with web technologies
3754,Understanding of security frameworks
3755, Knowledge of access control principles
3756, Familiarity with identity management systems
3757,risk evaluation
3758, security standards
3759, quantitative risk assessment
3760, qualitative risk assessment
3761,knowledge of safety critical systems
3762, understanding of failure modes
3763, familiarity with safety requirements
3764, experience in system testing
3765,Steganography
3766, Graphic files
3767, Binary representation
3768, Least significant bit
3769,knowledge of basic cryptography concepts
3770, understanding of different encryption modes
3771,SAN security basics
3772, Data breach consequences
3773, Regulatory compliance standards
3774, Physical security measures
3775,networking
3776, scanning techniques
3777, tracert
3778, ping
3779, port scanning
3780,knowledge of organizational security policies
3781, understanding of managerial responsibilities
3782, familiarity with audit functions
3783,cybersecurity concepts
3784, access management
3785,Network switching technology
3786, Traffic analysis techniques
3787, Managed switch features
3788,Software forensics
3789, Malicious code analysis
3790, Programming languages
3791, Cultural coding practices
3792,Service Level Management concepts
3793, IT service quality improvement
3794, Business alignment with IT services
3795,risk assessment
3796, information systems
3797, security controls
3798, asset importance
3799, financial information
3800, quantitative methods
3801, qualitative methods
3802, threat modeling
3803, Delphi method
3804,HIPAA information security requirements
3805, CMM (Capability Maturity Model) framework
3806, Disaster recovery planning
3807, Business continuity planning
3808,XTS AES mode
3809, tweak value
3810, block number
3811, data unit position
3812, symmetric key
3813, initialization vector (IV)
3814,fence height requirements for security
3815, intruder behavior and capabilities
3816,knowledge of computer security terms
3817,Cybersecurity incident response
3818, Legal aspects of cybersecurity
3819, Data preservation techniques
3820, Immediate action in IT systems
3821,Understanding of cybersecurity concepts
3822, Knowledge of risk management
3823, Familiarity with threat modeling
3824,Symmetric encryption algorithms
3825, Common cryptographic standards
3826,knowledge of web development
3827, understanding of CSS and its purpose
3828, familiarity with HTML
3829,Network access methods
3830, Data transmission security
3831, Types of internet connections
3832,Understanding of network security principles
3833, Knowledge of embedded and static system vulnerabilities
3834, Awareness of cybersecurity threats
3835, Concepts of network segmentation
3836,OSI model
3837, IPSec protocol
3838,malware types
3839, hash values
3840, antivirus databases
3841,security concepts
3842, human factors in security
3843, security policies
3844, internet security
3845, software security
3846,knowledge of organizational privacy roles
3847, understanding of privacy policies
3848, familiarity with complaint handling procedures
3849,network security concepts
3850, access control mechanisms
3851, security protocols
3852,Apache server management
3853, SSL/TLS configuration
3854,knowledge of password hashing algorithms
3855, understanding of password cracking tools
3856,knowledge of web security
3857, understanding of session management
3858, awareness of mobile device vulnerabilities
3859, familiarity with common cyber threats
3860,Network security concepts
3861, Firewall and segmentation techniques
3862,biometrics
3863, authentication
3864,business continuity planning
3865, IT department
3866, support departments
3867, operational departments
3868, legal knowledge
3869, senior management
3870,understanding of activism
3871, knowledge of hacking
3872, awareness of cyber ethics
3873,SQL transactions
3874, SQL commit command
3875,knowledge of symmetric encryption
3876, knowledge of asymmetric encryption
3877, understanding of encryption speed
3878, understanding of key distribution
3879, understanding of brute force attacks
3880,network security
3881, cybersecurity techniques
3882, evasion tactics
3883,multifactor authentication
3884, authentication methods
3885, key storage devices
3886, smart cards
3887, USB flash drives
3888, Bluetooth technology
3889, network adapters
3890, PCI Express
3891,IT management
3892, Organizational structure
3893, Budgeting
3894, Security policies
3895,Disaster recovery concepts
3896, Business continuity management
3897,vulnerability types
3898, backdoor concepts
3899, application security
3900,cybersecurity concepts
3901, encryption purposes
3902,Knowledge of different types of Intrusion Detection Systems (IDS)
3903, Understanding of network based IDS (NIDS)
3904, Understanding of host based IDS (HIDS)
3905, Understanding of intrusion prevention systems (IPS)
3906,LDAP injection
3907, syntax of LDAP queries
3908, authentication bypass techniques
3909,Knowledge of quantum mechanics
3910, Understanding of quantum cryptography principles
3911, Familiarity with photon properties and polarizations
3912, Awareness of man in the middle attacks
3913, Understanding of quantum key distribution (QKD)
3914,antivirus software functionality
3915, real time protection mechanisms
3916, malware detection techniques
3917,Knowledge of healthcare regulations
3918, Understanding of data protection laws
3919, Familiarity with HIPAA
3920,Knowledge of voice mail system security
3921, Understanding of security best practices
3922, Familiarity with monitoring techniques
3923, Awareness of potential security threats
3924,Forensic analysis
3925, Data integrity
3926, Evidence preservation
3927,Web security concepts
3928, Types of web application attacks
3929, HTML and JavaScript
3930,HIPAA regulations
3931, Responsibilities of organizations
3932, Patient healthcare information protection
3933,knowledge of human resources management
3934, understanding of job descriptions
3935, familiarity with organizational policies
3936,Knowledge of digital electronics
3937, Understanding of integrated circuits
3938, Awareness of programming concepts applied to hardware
3939,FTP server security
3940, network monitoring
3941, data security practices
3942,Knowledge of electronic signal standards
3943, Understanding of electronic hardware security
3944,wireless network analysis
3945, signal strength measurement
3946, network boundary detection
3947, wireless network scanning tools
3948,knowledge of cryptographic security concepts
3949, understanding of secure communication protocols
3950, awareness of common cyber attacks
3951,network security
3952, vulnerability assessment
3953, cybersecurity
3954,Public key infrastructure
3955, Digital signatures
3956, Authentication mechanisms
3957,knowledge of router security
3958, understanding of access lists in networking
3959,Business Continuity Management
3960, Disaster Recovery Concepts
3961, Business Impact Analysis
3962,Intellectual property law
3963, Business communication practices
3964, Data security in instant messaging
3965, Trade secret protection
3966,watermarking techniques
3967, digital image processing
3968,data lifecycle stages
3969,security management approaches
3970, information security program principles
3971,Knowledge of ISO 17799 standards
3972, Understanding of contingency planning processes
3973,Understanding of cryptographic hash functions
3974, Knowledge of one way functions
3975, Awareness of collision resistance
3976, Familiarity with computational difficulty
3977, Comprehension of fixed length outputs
3978,standardization knowledge
3979, security criteria knowledge
3980, computer product evaluation process
3981,OSI model layers
3982, functions of each OSI layer
3983,knowledge of biometric authentication
3984, understanding of physical characteristics as a form of identification
3985,Steganography
3986, Data hiding techniques
3987, Host file manipulation
3988, Visibility in digital media
3989,Processor architectures
3990, Embedded systems
3991, Mobile phone technology
3992, Consumer electronics
3993,Authentication protocols
3994, Encryption terminology
3995,Business Continuity Planning
3996, Importance of documentation
3997, Disaster recovery procedures
3998, Communication within organizations
3999,knowledge of cybersecurity
4000, understanding of different types of cyber attacks
4001,security concepts
4002, authentication processes
4003, access control
4004,Internet protocols
4005, Traceroute function
4006, ICMP function
4007, ARP function
4008, RIP function
4009,Understanding of security principles
4010, Knowledge of privilege management
4011, Familiarity with cybersecurity best practices
4012,knowledge of international privacy laws
4013, understanding of electronic data interchange systems
4014,software development
4015, open source software
4016, crowdsourced quality improvement
4017, security vulnerabilities
4018,DNS knowledge
4019, Query types in DNS
4020,Transaction Management Principles
4021,knowledge of common hacking motivations
4022, understanding of how web browsers are used
4023, awareness of data stored in browsers
4024, familiarity with browser security mechanisms
4025,Knowledge of SSL/TLS encryption
4026, Understanding of HTTP and HTTPS protocols
4027, Awareness of man in the middle attacks
4028,UDP headers
4029, computer networking
4030, network protocols
4031, data communication
4032,knowledge of fire detection systems
4033, understanding of how different types of fire detectors work
4034,Knowledge of audit processes
4035, Understanding of intranet security
4036, Familiarity with data storage and access controls
4037, Experience in information synthesis
4038,DNS security
4039, Cryptographic techniques
4040, DNS cache poisoning
4041,AES encryption process
4042, AES operations
4043,Virtual Network Computing
4044, Remote desktop access
4045,Kerberos protocol
4046, TGS (Ticket Granting Server)
4047, ticket structure
4048,DNS knowledge
4049, Email security concepts
4050, SPF protocol
4051, DKIM protocol
4052, S/MIME protocol
4053, STARTTLS protocol
4054,network scanning
4055, enumeration tools
4056, Snort
4057, Wireshark
4058, Nmap
4059, Metasploit
4060,knowledge of computer security concepts
4061, understanding of operating systems
4062, familiarity with protection domains
4063,knowledge of computer networks
4064, understanding of network attacks
4065, familiarity with DDoS terminology
4066, awareness of malware and botnets
4067,knowledge of online harassment terms
4068, familiarity with cyber related vocabulary
4069,Knowledge of TMTO (Table Moving To Other) attack
4070, Understanding of encryption chains
4071, Familiarity with key value spaces in cryptography
4072,Understanding of cloud computing models
4073, Knowledge of private and public cloud characteristics
4074,knowledge of corporate security
4075, understanding of legal procedures
4076, awareness of computer crime investigation processes
4077,malware types
4078, evading detection techniques
4079, software reconfiguration
4080,security lighting
4081, types of lighting
4082, illumination requirements for security purposes
4083,Public key cryptography
4084, Asymmetric encryption concepts
4085, Key pair functionality
4086,Wireless networking fundamentals
4087, SSID purpose and function
4088,Knowledge of data security principles
4089, Understanding of cryptographic techniques
4090, Familiarity with encryption methods
4091,XML and security
4092, XML processing
4093, External Entity Injection
4094,Understanding of botnets
4095, Knowledge of DNS and its manipulation
4096, Familiarity with command and control structures
4097,Incident response
4098, Security procedures
4099,knowledge of wireless networking protocols
4100, understanding of authentication methods
4101, familiarity with WPA2 standards
4102, awareness of RADIUS protocol
4103,knowledge of electronic voting systems
4104, understanding of voter validation processes
4105, familiarity with voting machine interfaces
4106,knowledge of mobile phone security vulnerabilities
4107, understanding of Bluetooth communication protocols
4108, awareness of mobile malware techniques
4109,network security controls
4110, firewall function
4111, security awareness concepts
4112, CCTV surveillance purpose
4113, biometric authentication systems
4114,knowledge of computer networking
4115, understanding of terminal identification concepts
4116,Knowledge of DNS
4117, Understanding of DNSSEC
4118, Awareness of DNS security threats
4119,knowledge of key management practices
4120, familiarity with common key storage methods
4121,Social engineering concepts
4122, Types of cyber attacks
4123,Understanding of cryptographic principles
4124, Knowledge of security threats like replay attacks
4125, Familiarity with nonce usage in cryptographic protocols
4126,Authentication factors
4127, Types of biometric authentication
4128, Examples of physical security tokens
4129,Understanding of cybersecurity concepts
4130, Knowledge of security strategies and tactics
4131,Knowledge of computer security concepts
4132, Understanding of security policy enforcement components
4133,GNSS systems
4134, Spoofing attacks on GNSS
4135, Signal processing techniques
4136, Receiver technology for GNSS
4137,802.11 wireless networking standards
4138, Ad Hoc network communication
4139,Network security concepts
4140, Vocabulary related to network division
4141,knowledge of U.S. patent history
4142, familiarity with inventors of early cryptographic devices
4143,Understanding of human psychology
4144, Knowledge of computer viruses and malware
4145, Awareness of social media and internet propagation
4146, Familiarity with cybersecurity threats
